Cycle,Timestep,"Cumulative Timestep","Time Interval(hrs)","NWOSCC(degrees)","SWOSCC(degrees)","NEOSCC(degrees)","SEOSCC(degrees)"
139A,30,79,24,81.14,83.48,83.73,82.80
139A,31,80,24,82.32,84.59,84.41,83.73
139A,32,81,24,83.28,84.39,87.80,84.43
139A,33,82,24,84.38,83.85,93.55,84.98
139A,34,83,24,86.52,84.91,95.30,86.25
139A,35,84,24,88.16,86.49,96.29,87.00
139A,36,85,24,87.87,86.95,98.04,87.37
139A,37,86,24,85.63,86.53,96.77,88.05
139A,38,87,24,87.67,87.85,97.62,88.53
139A,39,88,24,87.11,87.43,95.00,83.69
139A,40,89,24,88.02,88.48,98.94,85.35
139A,41,90,24,88.00,88.50,105.00,86.60
139A,42,91,24,86.41,88.35,102.63,87.24
139A,43,92,24,86.31,88.54,101.50,88.24
139A,44,93,24,87.92,89.95,103.68,89.43
139A,45,94,24,87.24,89.38,102.08,86.09
139A,46,95,24,88.73,90.90,103.72,87.10
139A,47,96,24,87.93,89.94,101.19,84.55
139A,48,97,24,89.10,91.14,102.05,85.07
139A,49,98,24,87.57,90.29,102.57,85.58
139A,50,99,24,86.10,88.92,101.53,84.42
139A,51,100,24,86.34,90.10,100.11,83.87
139A,52,101,24,88.75,92.11,101.23,85.30
139A,53,102,24,91.44,95.02,103.24,86.82
139A,54,103,24,91.71,95.54,103.03,87.60
139A,55,104,24,92.57,96.58,100.04,88.21
139A,56,105,9,93.22,97.51,100.41,89.27
139B,1,106,8,68.38,64.22,69.70,62.53
139B,2,107,24,91.03,83.89,94.36,76.57
139B,3,108,24,90.02,90.78,88.38,79.68
139B,4,109,24,89.36,90.12,87.60,80.32
139B,5,110,24,88.36,91.49,92.09,80.95
139B,6,111,24,82.01,87.80,89.39,78.93
139B,7,112,24,81.19,85.82,89.81,78.93
139B,8,113,24,82.35,86.74,90.69,79.73
139B,9,114,24,82.61,86.54,92.42,80.61
139B,10,115,24,84.11,85.46,93.79,81.16
139B,11,116,24,83.18,82.85,91.93,80.25
139B,12,117,24,84.42,83.93,92.15,81.12
139B,13,118,24,85.58,84.21,92.97,81.70
139B,14,119,24,86.71,84.63,93.78,82.46
139B,15,120,24,87.93,86.05,95.13,83.14
139B,16,121,24,84.65,85.12,93.59,83.12
139B,17,122,24,84.53,85.80,94.05,83.12
139B,18,123,24,82.81,81.62,93.85,81.73
139B,19,124,24,83.08,82.21,94.17,83.03
139B,20,125,24,80.10,81.64,93.00,82.68
139B,21,126,24,80.55,81.85,93.28,83.15
139B,22,127,24,82.16,82.13,93.98,82.86
139B,23,128,24,82.31,82.03,93.56,79.87
139B,24,129,24,84.28,83.15,95.46,80.67
139B,25,130,24,82.39,82.59,94.14,80.75
139B,26,131,24,81.04,82.54,92.33,81.02
139B,27,132,24,82.58,84.26,92.04,82.53
139B,28,133,24,83.57,85.62,93.22,83.46
139B,29,134,24,84.14,86.04,94.23,83.53
139B,30,135,24,84.27,84.73,93.50,79.68
139B,31,136,24,84.47,84.07,94.00,80.03
139B,32,137,24,82.66,82.02,92.93,79.12
139B,33,138,7,84.00,83.10,93.50,80.10
139B,34,139,1044,84.00,83.10,93.50,80.10
139B,35,140,13,54.90,54.94,54.74,54.48
139B,36,141,24,73.21,74.05,80.08,73.27
139B,37,142,24,81.31,82.69,94.35,82.94
139B,38,143,24,81.48,82.38,94.79,83.40
139B,39,144,24,82.00,82.73,94.50,83.97
139B,40,145,24,82.35,82.53,93.04,82.45
139B,41,146,24,83.03,83.45,94.17,82.23
139B,42,147,24,83.84,83.53,95.40,82.23
139B,43,148,24,84.35,84.18,94.53,81.43
139B,44,149,24,87.01,85.91,95.50,83.33
139B,45,150,24,86.57,85.23,96.59,82.00
139B,46,151,24,87.85,85.76,96.01,81.59
139B,47,152,24,90.29,87.78,97.85,83.76
139B,48,153,24,91.95,89.55,98.93,85.64
139B,49,154,24,94.64,93.39,102.53,88.31
139B,50,155,24,100.61,99.47,111.07,94.88
139B,51,156,24,102.08,101.64,113.07,96.22
139B,52,157,24,104.26,104.04,116.15,98.13
139B,53,158,24,106.94,106.53,117.93,100.48
139B,54,159,24,108.13,107.35,124.06,102.19
139B,55,160,21,110.80,110.72,124.60,104.17
140A,1,161,8,70.10,69.58,71.02,69.47
140A,2,162,24,84.75,86.89,93.16,83.09
140A,3,163,24,86.06,91.72,91.23,86.81
140A,4,164,24,85.52,93.08,91.86,88.47
140A,5,165,24,85.88,93.30,91.87,89.20
140A,6,166,24,82.93,89.81,88.44,88.95
140A,7,167,24,83.48,89.53,88.93,89.96
140A,8,168,24,84.32,92.04,87.56,91.58
140A,9,169,24,84.38,92.43,87.51,92.88
140A,10,170,24,85.97,93.08,88.52,93.63
140A,11,171,24,85.36,90.90,88.81,89.78
140A,12,172,24,84.22,88.20,87.40,86.11
140A,13,173,24,85.50,88.57,89.07,86.79
140A,14,174,24,87.20,88.96,89.89,87.24
140A,15,175,24,88.00,89.42,90.35,87.80
140A,16,176,24,88.61,90.76,90.70,88.06
140A,17,177,24,90.96,90.47,92.15,89.15
140A,18,178,24,92.00,91.20,93.36,89.50
140A,19,179,24,92.88,92.00,94.24,90.03
140A,20,180,24,90.89,90.56,93.34,89.31
140A,21,181,24,86.28,86.80,90.43,87.56
140A,22,182,24,87.48,88.73,91.34,89.03
140A,23,183,24,88.72,89.58,91.96,89.59
140A,24,184,24,89.55,90.07,92.71,90.17
140A,25,185,24,90.93,90.67,93.83,91.07
140A,26,186,24,89.57,89.55,92.16,84.96
140A,27,187,24,90.34,90.07,93.38,85.94
140A,28,188,24,92.50,91.62,94.83,87.09
140A,29,189,24,89.24,89.99,93.18,85.63
140A,30,190,24,87.12,88.19,92.20,84.81
140A,31,191,24,88.45,88.88,93.55,86.50
140A,32,192,24,88.91,89.22,94.46,86.75
140A,33,193,24,86.32,89.60,92.30,86.87
140A,34,194,24,87.34,90.16,93.29,87.86
140A,35,195,24,87.40,90.40,92.66,85.46
140A,36,196,24,88.90,91.39,93.38,85.09
140A,37,197,24,89.29,92.58,93.89,86.64
140A,38,198,24,86.73,93.43,91.56,87.08
140A,39,199,24,86.70,93.61,91.74,86.58
140A,40,200,24,86.31,93.19,88.50,84.11
140A,41,201,24,88.83,93.81,92.07,85.63
140A,42,202,24,88.74,95.50,92.43,86.14
140A,43,203,24,87.00,95.54,90.08,86.75
140A,44,204,24,89.65,97.62,92.42,88.27
140A,45,205,24,89.44,98.77,92.26,86.83
140A,46,206,24,89.12,98.74,91.63,86.10
140A,47,207,24,90.73,100.70,93.08,87.64
140A,48,208,11,92.13,102.31,93.87,88.96
140B,1,209,8,79.11,79.13,79.14,79.14
140B,2,210,24,93.10,95.13,90.85,89.07
140B,3,211,24,90.93,93.68,89.14,90.28
140B,4,212,24,88.99,93.80,83.26,88.08
140B,5,213,24,89.28,95.30,83.54,88.74
140B,6,214,24,89.39,96.14,84.35,89.53
140B,7,215,24,90.99,97.04,86.49,91.23
140B,8,216,24,92.17,98.93,88.22,92.26
140B,9,217,24,89.02,97.26,85.58,87.34
140B,10,218,24,83.00,95.84,82.58,85.89
140B,11,219,24,82.69,96.50,81.58,86.88
140B,12,220,24,84.13,98.53,83.15,87.72
140B,13,221,24,84.13,98.40,81.64,85.35
140B,14,222,24,85.21,99.26,81.11,84.75
140B,15,223,24,86.17,100.28,81.86,85.55
140B,16,224,24,87.18,101.56,83.51,86.88
140B,17,225,24,88.68,103.12,85.50,87.71
140B,18,226,24,89.73,104.29,85.74,88.73
140B,19,227,24,85.77,102.62,82.90,88.46
140B,20,228,24,87.11,104.64,84.12,89.11
140B,21,229,24,88.30,106.28,85.48,90.72
140B,22,230,24,89.57,108.11,86.79,92.06
140B,23,231,24,92.62,109.54,87.76,92.68
140B,24,232,24,93.30,112.56,89.05,94.07
140B,25,233,24,93.70,113.81,89.47,94.09
140B,26,234,19,93.39,109.03,95.22,94.21
140B,27,235,185,93.39,109.03,95.22,94.21
140B,28,236,11,93.31,109.36,94.80,94.32
140B,29,237,24,93.42,108.95,94.32,93.41
140B,30,238,24,92.62,107.28,92.91,90.71
140B,31,239,24,94.35,110.73,94.16,91.57
140B,32,240,24,92.83,111.72,95.09,92.67
140B,33,241,24,90.54,109.75,93.57,92.50
140B,34,242,24,90.79,110.89,91.78,90.43
140B,35,243,24,93.26,114.59,93.77,93.12
140B,36,244,24,95.00,117.35,94.87,94.89
140B,37,245,13,96.56,120.37,97.30,96.48
141A,1,246,8,75.64,75.84,76.34,71.63
141A,2,247,24,87.58,89.87,89.99,85.06
141A,3,248,24,88.79,93.75,92.25,87.89
141A,4,249,24,84.76,88.26,84.41,82.53
141A,5,250,24,86.93,90.80,87.51,84.84
141A,6,251,24,86.97,90.12,88.69,84.96
141A,7,252,24,85.21,88.84,87.80,84.53
141A,8,253,24,86.57,88.81,89.81,85.18
141A,9,254,24,87.93,89.90,92.03,86.50
141A,10,255,24,89.58,90.81,92.82,87.30
141A,11,256,24,91.13,92.64,95.04,88.14
141A,12,257,24,91.37,93.30,95.81,88.58
141A,13,258,24,92.61,93.64,97.80,89.53
141A,14,259,24,94.05,94.56,99.84,90.01
141A,15,260,24,95.66,95.58,100.94,91.09
141A,16,261,24,96.13,94.18,100.27,87.18
141A,17,262,24,96.60,94.48,100.54,86.18
141A,18,263,24,98.18,95.63,101.20,86.93
141A,19,264,24,93.48,93.86,95.60,85.62
141A,20,265,24,87.03,93.35,90.86,84.04
141A,21,266,24,87.53,93.18,93.79,84.17
141A,22,267,24,88.74,93.59,96.22,85.47
141A,23,268,24,90.44,95.65,97.76,86.82
141A,24,269,24,91.60,97.26,98.38,87.76
141A,25,270,24,93.71,99.46,99.86,89.05
141A,26,271,24,95.05,99.99,100.76,89.93
141A,27,272,24,96.67,100.67,103.65,90.98
141A,28,273,24,92.05,100.27,102.13,90.13
141A,29,274,24,88.15,99.78,100.18,89.46
141A,30,275,24,88.83,100.59,100.67,91.10
141A,31,276,24,86.20,101.05,97.82,90.98
141A,32,277,24,88.21,103.72,97.65,92.56
141A,33,278,24,87.26,102.43,97.25,88.59
141A,34,279,7,88.49,102.80,98.39,89.85
142A,1,280,8,59.06,55.83,58.50,58.13
142A,2,281,24,78.21,75.49,76.81,75.08
142A,3,282,24,85.73,84.98,85.69,83.76
142A,4,283,24,88.19,87.24,91.30,85.48
142A,5,284,24,86.01,94.98,91.06,83.29
142A,6,285,24,87.47,97.21,94.21,83.96
142A,7,286,25,87.60,94.79,94.85,83.83
142A,8,287,24,87.90,92.71,95.54,83.53
142A,9,288,24,89.06,94.34,96.52,84.54
142A,10,289,24,89.81,96.28,96.88,85.25
142A,11,290,24,90.06,96.85,94.74,85.34
142A,12,291,24,90.63,97.25,93.05,85.37
142A,13,292,24,91.40,98.21,94.97,86.15
142A,14,293,24,91.96,99.38,96.65,87.50
142A,15,294,24,90.83,94.29,96.15,86.27
142A,16,295,24,90.84,93.28,96.66,86.36
142A,17,296,24,89.84,92.90,90.71,85.29
142A,18,297,24,87.77,88.78,88.39,84.78
142A,19,298,24,88.85,90.35,91.29,86.35
142A,20,299,24,88.97,91.09,89.23,85.80
142A,21,300,24,88.45,91.96,86.99,85.48
142A,22,301,24,89.83,93.06,87.48,87.00
142A,23,302,24,89.36,92.90,87.98,86.70
142A,24,303,24,88.91,90.54,87.18,86.17
142A,25,304,24,88.58,89.33,88.17,85.90
142A,26,305,24,88.48,88.55,88.69,85.73
142A,27,306,24,90.27,90.18,90.04,87.31
142A,28,307,24,91.30,92.02,91.74,88.60
142A,29,308,24,92.48,94.03,93.15,90.03
142A,30,309,24,91.15,94.36,90.91,89.25
142A,31,310,25,91.60,95.48,90.26,89.77
142A,32,311,24,88.61,95.44,88.84,89.38
142A,33,312,20,85.20,92.27,85.29,86.90
142A,34,313,17,85.20,92.27,85.29,86.90
142A,35,314,11,67.54,72.35,64.30,68.35
142A,36,315,24,87.00,94.59,86.70,88.97
142A,37,316,24,91.87,99.58,90.06,89.21
142A,38,317,24,92.73,101.03,92.58,90.75
142A,39,318,24,90.61,101.90,91.04,91.03
142A,40,319,24,90.65,103.61,91.00,92.11
142A,41,320,24,91.37,103.09,91.34,90.34
142A,42,321,24,93.05,104.94,93.04,92.01
142A,43,322,24,89.06,105.04,89.71,90.53
142A,44,323,24,88.81,106.06,85.87,90.00
142A,45,324,24,90.19,107.88,85.77,90.05
142A,46,325,24,90.68,109.65,85.63,88.87
142A,47,326,24,92.85,113.58,87.46,92.24
142A,48,327,24,93.49,116.18,88.19,93.25
142A,49,328,24,92.44,116.42,87.09,93.76
142A,50,329,24,92.87,118.80,88.94,93.81
142A,51,330,15,92.90,119.34,88.49,92.40
142B,1,331,8,57.44,56.56,55.38,57.04
142B,2,332,24,82.04,81.50,81.40,76.59
142B,3,333,24,88.23,87.90,86.70,88.77
142B,4,334,45,88.23,87.90,86.70,88.77
142B,5,335,13,58.05,55.90,52.08,59.13
142B,6,336,24,83.24,81.84,80.61,86.68
142B,7,337,24,89.90,88.12,87.49,91.22
142B,8,338,24,90.44,89.44,88.42,93.08
142B,9,339,24,90.54,88.00,85.14,88.74
142B,10,340,24,91.29,88.98,85.97,89.06
142B,11,341,24,92.05,89.82,88.39,89.69
142B,12,342,24,92.85,89.98,90.38,90.49
142B,13,343,24,93.82,90.91,91.43,90.48
142B,14,344,24,94.59,92.06,91.60,90.16
142B,15,345,24,86.46,82.60,83.06,82.45
142B,16,346,24,86.87,83.07,84.00,83.10
142B,17,347,24,82.88,81.67,82.65,81.53
142B,18,348,24,84.11,82.96,83.81,82.60
142B,19,349,24,84.91,82.66,84.80,83.39
142B,20,350,24,85.23,83.46,86.39,83.54
142B,21,351,24,85.85,84.16,86.33,84.19
142B,22,352,24,87.12,84.74,87.08,84.95
142B,23,353,24,86.84,84.05,85.95,84.74
142B,24,354,24,86.63,84.18,84.25,84.32
142B,25,355,24,86.29,85.28,85.05,84.40
142B,26,356,24,83.78,84.46,83.59,84.08
142B,27,357,24,84.26,85.16,83.28,84.13
142B,28,358,24,83.14,84.90,80.12,83.11
142B,29,359,24,84.21,85.89,80.89,84.18
142B,30,360,24,85.34,87.47,81.52,84.92
142B,31,361,24,86.79,88.21,82.50,86.71
142B,32,362,31,87.80,88.73,84.06,88.08
142B,33,363,46,77.85,77.95,77.75,77.50
142B,34,364,11,60.56,61.17,55.25,62.17
142B,35,365,24,77.16,82.58,73.84,80.10
142B,36,366,24,82.88,88.05,80.44,85.66
142B,37,367,24,83.78,89.54,82.14,86.69
142B,38,368,24,84.70,91.24,83.78,87.25
142B,39,369,24,85.99,92.76,86.34,88.57
142B,40,370,24,87.28,93.60,87.84,89.92
142B,41,371,24,85.73,90.50,86.88,88.44
142B,42,372,24,87.57,92.61,88.30,90.33
142B,43,373,24,89.50,94.23,90.84,92.00
142B,44,374,24,86.25,88.62,85.41,85.75
142B,45,375,24,84.90,87.02,83.43,83.97
142B,46,376,24,86.70,89.73,85.43,85.50
142B,47,377,24,88.48,91.58,86.89,86.95
142B,48,378,24,90.46,92.66,90.37,89.16
142B,49,379,24,92.15,94.89,93.51,90.66
142B,50,380,24,93.87,98.11,96.17,92.45
142B,51,381,24,94.44,99.91,94.23,93.39
142B,52,382,24,93.22,100.60,89.15,93.08
142B,53,383,24,87.81,98.75,84.98,91.82
142B,54,384,24,84.46,97.94,80.78,89.41
142B,55,385,24,87.88,99.09,83.99,92.06
142B,56,386,24,90.06,101.58,86.39,94.38
142B,57,387,21,91.68,105.03,87.75,96.45
143A,1,388,8,51.14,54.52,63.33,56.68
143A,2,389,24,71.69,81.65,93.09,79.86
143A,3,390,24,72.63,93.17,92.01,84.21
143A,4,391,24,72.59,92.12,90.28,85.26
143A,5,392,24,70.91,89.43,89.66,84.44
143A,6,393,24,71.06,89.92,91.50,85.35
143A,7,394,24,71.83,91.42,93.04,85.85
143A,8,395,24,72.30,91.65,94.21,86.02
143A,9,396,24,71.53,91.66,89.95,84.70
143A,10,397,24,72.40,91.70,90.47,85.45
143A,11,398,24,72.90,92.26,91.24,86.08
143A,12,399,24,73.65,93.10,92.33,86.18
143A,13,400,24,75.25,93.72,93.58,86.68
143A,14,401,24,75.53,94.18,93.93,86.95
143A,15,402,24,76.16,94.00,95.55,87.79
143A,16,403,24,77.70,94.33,96.25,88.05
143A,17,404,24,79.15,95.38,97.38,88.55
143A,18,405,24,78.52,95.49,95.16,87.81
143A,19,406,24,77.53,95.48,92.77,86.51
143A,20,407,24,78.76,95.93,94.48,87.80
143A,21,408,24,79.99,96.66,96.43,88.88
143A,22,409,24,81.42,97.27,98.36,89.43
143A,23,410,24,82.41,98.79,100.31,89.00
143A,24,411,15,80.60,98.18,93.97,86.67
143A,25,412,449,80.60,98.18,93.97,86.67
143A,26,413,24,69.04,84.24,77.36,76.38
143A,27,414,24,80.60,96.08,96.01,89.77
143A,28,415,24,80.92,94.83,97.53,89.80
143A,29,416,24,81.49,95.21,99.31,89.35
143A,30,417,24,82.40,96.51,101.61,90.06
143A,31,418,24,81.11,93.08,100.28,90.33
143A,32,419,24,81.89,94.49,101.08,90.85
143A,33,420,24,80.74,92.35,101.27,89.98
143A,34,421,24,81.80,91.85,101.81,90.73
143A,35,422,24,80.97,92.07,100.66,86.19
143A,36,423,24,82.53,93.84,103.16,87.29
143A,37,424,24,81.59,92.16,103.94,86.73
143A,38,425,24,82.00,92.44,105.31,87.73
143A,39,426,24,82.93,92.99,105.88,86.21
143A,40,427,24,83.44,93.29,105.43,84.86
143A,41,428,28,85.37,95.01,107.38,86.18
143A,42,429,112,85.37,95.01,107.38,86.18
143A,43,430,8,60.72,66.22,68.05,64.24
143A,44,431,24,80.94,92.68,99.98,82.30
143A,45,432,24,82.95,97.06,106.95,85.76
143A,46,433,24,84.27,98.08,107.92,86.21
143A,47,434,24,83.52,97.41,105.52,84.00
143A,48,435,24,84.72,99.66,108.09,85.56
143A,49,436,24,84.20,100.05,106.37,84.02
143A,50,437,24,86.08,104.03,107.61,84.50
143A,51,438,24,87.05,107.70,108.62,85.68
143A,52,439,24,82.79,108.16,107.68,86.42
143A,53,440,22,81.10,109.22,106.65,87.71
143B,1,441,8,53.76,53.78,53.74,53.66
143B,2,442,24,65.89,67.58,65.23,68.38
143B,3,443,24,84.94,89.17,82.98,87.21
143B,4,444,24,87.78,94.49,86.40,90.55
143B,5,445,24,87.29,95.66,86.72,91.69
143B,6,446,24,87.16,95.31,87.42,92.15
143B,7,447,24,85.35,90.69,88.41,90.57
143B,8,448,24,86.59,91.68,89.58,91.00
143B,9,449,24,84.29,86.29,88.88,89.27
143B,10,450,24,85.26,86.62,89.32,89.64
143B,11,451,24,86.50,86.87,90.91,90.50
143B,12,452,24,87.61,87.00,91.80,90.80
143B,13,453,24,88.84,87.35,93.29,91.28
143B,14,454,24,89.00,87.27,92.08,91.00
143B,15,455,24,86.63,89.75,88.48,88.46
143B,16,456,24,81.79,90.62,86.05,84.73
143B,17,457,24,81.60,91.50,86.00,85.50
143B,18,458,24,82.58,91.88,86.67,85.83
143B,19,459,24,81.15,87.28,86.02,83.22
143B,20,460,24,82.07,87.85,86.18,83.53
143B,21,461,24,82.81,88.51,87.24,84.15
143B,22,462,24,83.48,89.10,87.39,84.40
143B,23,463,24,82.85,89.22,85.10,83.86
143B,24,464,24,84.58,90.43,86.77,84.76
143B,25,465,24,84.02,88.57,86.99,84.13
143B,26,466,24,83.43,87.21,87.35,83.50
143B,27,467,24,85.18,88.03,88.64,84.14
143B,28,468,24,84.48,88.38,86.10,83.73
143B,29,469,53,84.00,88.50,90.03,83.50
143B,30,470,24,72.63,77.84,72.85,74.34
143B,31,471,24,86.00,89.90,86.09,85.88
143B,32,472,24,83.93,90.59,85.65,86.42
143B,33,473,24,84.25,92.36,86.71,86.73
143B,34,474,24,85.20,93.93,88.33,87.87
143B,35,475,24,84.05,94.36,83.56,87.33
143B,36,476,24,86.40,95.78,85.24,88.54
143B,37,477,24,87.32,96.13,86.51,88.18
143B,38,478,24,87.12,96.69,87.13,87.00
143B,39,479,24,86.59,97.64,87.26,87.64
143B,40,480,24,84.53,97.19,86.08,86.78
143B,41,481,24,85.02,98.21,84.80,86.12
143B,42,482,24,84.98,98.64,83.45,84.06
143B,43,483,24,85.53,99.71,91.91,87.88
143B,44,484,24,88.83,101.92,97.30,90.65
143B,45,485,24,90.45,104.14,98.42,90.84
143B,46,486,24,89.53,105.05,94.78,91.07
143B,47,487,24,86.45,105.66,94.59,91.82
143B,48,488,24,89.05,108.54,95.90,93.03
143B,49,489,24,87.51,108.89,96.14,92.99
143B,50,490,24,86.45,109.74,93.52,93.63
143B,51,491,24,87.20,112.11,92.21,94.72
143B,52,492,24,89.58,115.06,94.58,96.54
143B,53,493,24,88.66,116.43,94.17,97.60
143B,54,494,24,87.64,118.22,92.92,97.84
143B,55,495,24,87.89,121.89,90.23,98.10
143B,56,496,24,88.66,124.11,89.21,98.60
143B,57,497,24,88.61,126.58,88.63,99.06
143B,58,498,24,90.80,133.94,90.30,101.57
143B,59,499,24,94.91,145.89,93.24,103.65
143B,60,500,9,97.50,150.00,94.80,105.80
144A,1,501,8,58.55,58.63,58.62,58.58
144A,2,502,24,72.98,82.45,78.94,86.51
144A,3,503,24,84.31,93.12,91.71,96.79
144A,4,504,24,84.67,94.38,92.35,97.20
144A,5,505,24,85.00,94.88,93.30,98.03
144A,6,506,24,85.99,96.89,95.37,99.82
144A,7,507,24,85.34,96.57,92.66,97.69
144A,8,508,24,86.15,97.45,92.36,97.56
144A,9,509,24,87.12,96.36,95.00,98.00
144A,10,510,24,87.39,96.85,95.91,98.20
144A,11,511,24,87.49,96.33,96.41,97.85
144A,12,512,24,85.88,91.56,95.99,96.43
144A,13,513,24,86.01,92.03,93.88,95.20
144A,14,514,24,86.00,92.23,93.00,94.46
144A,15,515,24,85.50,92.20,91.30,94.00
144A,16,516,24,86.23,93.07,91.72,94.67
144A,17,517,24,86.81,93.69,91.70,95.00
144A,18,518,24,87.66,94.13,94.17,96.12
144A,19,519,24,88.28,95.36,94.53,96.54
144A,20,520,24,89.60,95.96,95.94,97.50
144A,21,521,24,89.70,96.53,96.44,97.22
144A,22,522,24,89.17,96.86,92.99,96.40
144A,23,523,24,90.40,98.02,93.88,96.25
144A,24,524,24,89.19,94.09,93.08,94.73
144A,25,525,24,91.10,95.07,95.04,96.10
144A,26,526,24,90.99,94.28,95.08,94.45
144A,27,527,24,91.70,93.97,94.82,93.38
144A,28,528,24,92.75,95.29,96.18,94.38
144A,29,529,24,93.89,96.64,98.76,95.42
144A,30,530,24,95.09,98.09,100.24,96.51
144A,31,531,24,94.04,96.05,99.43,95.83
144A,32,532,24,94.67,95.23,101.15,96.17
144A,33,533,24,96.00,96.31,102.00,97.45
144A,34,534,24,100.15,97.13,99.37,96.99
144A,35,535,24,100.55,98.19,97.05,98.25
144A,36,536,24,101.23,99.30,98.36,99.48
144A,37,537,24,103.85,101.65,101.17,100.08
144A,38,538,24,102.87,102.85,100.84,101.38
144A,39,539,24,94.06,100.31,99.38,100.98
144A,40,540,24,93.99,98.20,99.94,99.55
144A,41,541,24,96.09,100.56,102.35,101.32
144A,42,542,24,97.36,103.19,103.73,103.31
144A,43,543,24,99.13,105.44,107.10,105.60
144A,44,544,24,100.45,107.18,108.46,108.06
144A,45,545,18,101.07,108.25,112.71,110.04
144B,1,546,8,61.05,60.14,60.31,60.65
144B,2,547,24,88.43,86.07,87.46,86.73
144B,3,548,24,94.52,94.82,95.09,98.15
144B,4,549,24,91.51,94.75,95.09,97.51
144B,5,550,24,90.89,93.67,94.34,98.12
144B,6,551,24,92.16,94.68,95.90,99.16
144B,7,552,24,93.40,95.76,97.80,99.83
144B,8,553,24,94.80,97.19,99.33,100.68
